timestamp_acc,device_acc_x,device_acc_y,device_acc_z,earth_acc_x,earth_acc_y,earth_acc_z
787675193300043, 0.6999006, 6.373283, 7.7671022, -0.19973493, -0.18492651, 10.06789
787675202939001, 0.6879365, 6.320641, 7.5553374, -0.1609782, -0.09142494, 9.872824
787675212577960, 0.77647096, 6.3828545, 7.396215, -0.015630484, 0.01863432, 9.8003645
787675222216918, 0.8997013, 6.45105, 7.342376, 0.12804055, 0.06205511, 9.814058
787675231855876, 0.9870393, 6.492924, 7.3112698, 0.22630072, 0.080693245, 9.824931
787675241494939, 0.9774681, 6.4881387, 7.3543406, 0.20279121, 0.050013542, 9.853634
787675251133897, 0.9391829, 6.478567, 7.428518, 0.14141941, 0.01017189, 9.900335
787675260772855, 0.90329057, 6.4677997, 7.4644103, 0.09378147, -0.008068562, 9.917507
787675270411814, 0.9451649, 6.465407, 7.530213, 0.115046024, -0.060177326, 9.969055
787675280050772, 0.93679005, 6.495317, 7.5433736, 0.10974383, -0.04280281, 9.997765
787675289689730, 0.8662018, 6.491728, 7.6127653, 0.026982307, -0.060778618, 10.042042
787675299328689, 0.7800602, 6.4594245, 7.713264, -0.08241141, -0.11380911, 10.089963
787675308967647, 0.7645068, 6.4881387, 7.749156, -0.09522617, -0.107471466, 10.134556
787675318606605, 0.7118647, 6.501299, 7.617551, -0.10342765, -0.0012521744, 10.039425
787675328245564, 0.6257231, 6.4474607, 7.460821, -0.14873981, 0.07450962, 9.879143
787675337884522, 0.587438, 6.431907, 7.314859, -0.14819372, 0.15595579, 9.755789
787675347523480, 0.57547385, 6.3864436, 7.2622166, -0.15257382, 0.15269852, 9.68561
787675357162439, 0.56111693, 6.309873, 7.2526455, -0.17520249, 0.104358196, 9.627495
787675366801397, 0.55393845, 6.330212, 7.32443, -0.1943605, 0.07885265, 9.694416
787675376440355, 0.6329016, 6.385247, 7.3770723, -0.123160124, 0.06243229, 9.7762
787675386079314, 0.7190432, 6.4175506, 7.618747, -0.097186565, -0.08162308, 9.986549
787675395718272, 0.7812566, 6.4642105, 7.8233337, -0.0836761, -0.18953896, 10.176346
787675405357230, 0.8422736, 6.4905314, 7.798209, -0.014567852, -0.16724968, 10.179408
787675414996189, 0.98584294, 6.582655, 7.800602, 0.1367724, -0.14599037, 10.252445
787675424635147, 1.0313065, 6.6125655, 7.7240314, 0.19395709, -0.09605265, 10.217799
787675434274105, 0.96550393, 6.597012, 7.576873, 0.16872835, 5.0258636E-4, 10.091249
787675443913064, 0.90089774, 6.512067, 7.459625, 0.11526704, 0.024151802, 9.942371
787675453552022, 0.8350951, 6.4642105, 7.308877, 0.073863745, 0.08740711, 9.792344
787675463191085, 0.81595254, 6.4414787, 7.2993054, 0.0532279, 0.075755596, 9.768815
787675472830043, 0.7716853, 6.5048885, 7.1688967, 0.060696244, 0.20992851, 9.708469
787675482469001, 0.70588267, 6.521638, 7.2382884, -0.017728686, 0.19793415, 9.766441
787675492107960, 0.6257231, 6.501299, 7.216753, -0.09213841, 0.21805763, 9.730565
787675501746918, 0.5204389, 6.448657, 7.2011995, -0.19780838, 0.22259188, 9.675982
787675511385876, 0.63529444, 6.463014, 7.2670026, -0.105318904, 0.15041542, 9.744217
