,device_acc_x,device_acc_y,device_acc_z,earth_acc_x,earth_acc_y,earth_acc_z
97270453232207, 8.329415, -0.086141616, 5.5274205, -0.04253155, 0.0061616898, 9.996856
97270462870853, 8.316256, -0.104087785, 5.556134, -0.028296709, -0.027149677, 10.002002
97270472509498, 8.343773, -0.1268196, 5.5908303, -0.007395625, -0.043652534, 10.044404
97270482148248, 8.383254, -0.16271193, 5.642276, 0.023281872, -0.06925154, 10.106206
97270491786894, 8.402397, -0.19860429, 5.6745787, 0.051912367, -0.089588165, 10.140505
97270501425540, 8.43111, -0.22372891, 5.6745787, 0.077025175, -0.077317715, 10.164773
97270511064186, 8.420342, -0.22612174, 5.651847, 0.0813998, -0.065463066, 10.143262
97270520702832, 8.390432, -0.19980069, 5.6063833, 0.057131648, -0.041535378, 10.092861
97270530341478, 8.368897, -0.18424734, 5.5274205, 0.050434887, 0.009841919, 10.031059
97270539980123, 8.330612, -0.16031912, 5.4580283, 0.034211814, 0.0460639, 9.960502
97270549618769, 8.328219, -0.12921242, 5.413761, 0.010865986, 0.08688116, 9.933635
97270559257415, 8.322237, -0.11365908, 5.3814583, 3.4821033E-4, 0.10877752, 9.910642
97270568896061, 8.328219, -0.09092726, 5.343173, -0.014084756, 0.14415836, 9.894243
97270578534811, 8.323434, -0.08733802, 5.3814583, -0.024414659, 0.10673761, 9.911371
97270588173457, 8.349754, -0.10767702, 5.4173503, -0.0073887706, 0.08687687, 9.953396
97270597812103, 8.348558, -0.09571291, 5.471189, -0.029231966, 0.04429531, 9.981918
97270607450748, 8.362915, -0.1160519, 5.5070815, -0.009809434, 0.020047188, 10.013954
97270617089394, 8.370093, -0.1268196, 5.5166526, -1.7184019E-4, 0.014164925, 10.025358
97270626728040, 8.384451, -0.11246266, 5.54417, -0.014753997, 0.0039978027, 10.052326
97270636366686, 8.400003, -0.1160519, 5.5657053, -0.008153439, -0.0014505386, 10.0772295
97270646005332, 8.379665, -0.096909314, 5.582455, -0.029084504, -0.02127409, 10.069295
97270655643978, 8.334201, -0.09571291, 5.5860443, -0.034572065, -0.048798084, 10.033363
97270665282623, 8.333005, -0.09212367, 5.572884, -0.034439683, -0.034745216, 10.025074
97270674921269, 8.342576, -0.08973085, 5.576473, -0.036529124, -0.032057285, 10.035005
97270684559915, 8.364112, -0.09092726, 5.5800624, -0.03636986, -0.022622108, 10.054943
97270694198561, 8.383254, -0.09332009, 5.5920267, -0.0342381, -0.022297382, 10.077536
97270703837207, 8.394022, -0.106480606, 5.611169, -0.02629143, -0.034876347, 10.09724
97270713475957, 8.386844, -0.12801601, 5.6243296, -0.008013308, -0.053367615, 10.098799
97270723114603, 8.366505, -0.1363909, 5.615955, -0.0016597509, -0.059499264, 10.077321
97270732753248, 8.366505, -0.1268196, 5.6039906, -0.009909093, -0.04781151, 10.07059
97270742391894, 8.365308, -0.13878371, 5.5597234, 0.008660078, -0.015799522, 10.045289
97270752030540, 8.372486, -0.13758731, 5.5022955, 0.018381596, 0.033228874, 10.019544
97270761669186, 8.360522, -0.13040884, 5.4496536, 0.018549562, 0.068761826, 9.980431
97270771307832, 8.35454, -0.106480606, 5.3922257, 0.003300786, 0.11148071, 9.943508
97270780946478, 8.348558, -0.096909314, 5.373083, -0.0036785007, 0.12584257, 9.927839
97270790585123, 8.336594, -0.078963146, 5.377869, -0.026896238, 0.11385727, 9.920324
97270800223769, 8.323434, -0.09332009, 5.4149575, -0.0219329, 0.0723176, 9.929971
97270809862415, 8.334201, -0.104087785, 5.428118, -0.012892604, 0.06515074, 9.946346
97270819501061, 8.336594, -0.111266255, 5.4699926, -0.014412701, 0.030985355, 9.971501
97270829139707, 8.3581295, -0.14356937, 5.4891353, 0.015954554, 0.022704601, 10.000439
97270838778353, 8.384451, -0.17108682, 5.5334024, 0.04069054, 3.066063E-4, 10.047148
97270848416998, 8.383254, -0.17706887, 5.569295, 0.04128778, -0.030564308, 10.066017
97270858055644, 8.386844, -0.19142582, 5.6099725, 0.052238643, -0.059077263, 10.091647
97270867694394, 8.394022, -0.18305093, 5.6350975, 0.04137385, -0.07204914, 10.111406
97270877333040, 8.386844, -0.17467605, 5.649454, 0.030861735, -0.08424282, 10.113255
97270886971686, 8.395218, -0.17706887, 5.6781683, 0.03038907, -0.10199833, 10.136139
97270896610332, 8.383254, -0.16510476, 5.6578293, 0.020387948, -0.08992815, 10.1147785
97270906248978, 8.374879, -0.1363909, 5.619544, -0.005388081, -0.05841589, 10.086279
97270915887623, 8.405986, -0.13758731, 5.5860443, 0.0034350157, -0.014166355, 10.093721
