timestamp_acc,device_acc_x,device_acc_y,device_acc_z,earth_acc_x,earth_acc_y,earth_acc_z
1130766948238652, 9.419347, -0.92602235, 3.6011982, 0.10592863, 0.31993842, 10.121099
1130766957878391, 9.444471, -1.026521, 4.1108694, 0.19678606, -0.13866758, 10.348578
1130766967518131, 9.399008, -1.0193424, 4.1072803, 0.20153129, -0.16586018, 10.304466
1130766977157870, 9.32124, -1.0001999, 3.7615173, 0.19726841, 0.12209797, 10.098569
1130766986797610, 9.219545, -1.0336994, 3.9146578, 0.24377975, -0.023037195, 10.066437
1130766996437350, 9.21476, -0.9284152, 4.389633, 0.13048849, -0.43994308, 10.238752
1130767006077089, 9.02453, -0.7501499, 3.973282, -0.020157456, -0.10390115, 9.88841
1130767015716829, 8.857033, -0.6652047, 3.641876, -0.08576342, 0.1481049, 9.598099
1130767025356568, 8.95155, -0.7070791, 3.6670008, -0.050974235, 0.16324377, 9.697827
1130767034996308, 9.067601, -0.8446664, 3.7998023, 0.07348968, 0.08906722, 9.867118
1130767044636048, 9.142975, -0.8422736, 3.9804604, 0.06035507, -0.053426266, 10.007047
1130767054275787, 9.157332, -0.76689965, 3.9421754, -0.020680292, -0.015301466, 9.999248
1130767063915527, 9.180064, -0.68075806, 3.926622, -0.10831084, 0.005438328, 10.007177
1130767073555266, 9.115458, -0.66041905, 3.7459638, -0.12174035, 0.15104699, 9.8753395
1130767083195006, 9.02812, -0.72741807, 3.7268212, -0.044402733, 0.14865708, 9.792918
1130767092834745, 8.967103, -0.7573284, 3.6993039, -0.009255947, 0.15085125, 9.728541
1130767102474485, 8.988638, -0.74895346, 3.682554, -0.021402063, 0.18001628, 9.740887
1130767112114225, 9.026923, -0.80159557, 3.7998023, 0.021509461, 0.093301535, 9.826352
1130767121753964, 9.114262, -0.80997044, 3.9888353, 0.014123112, -0.041922092, 9.981718
1130767131393704, 9.23151, -0.85902333, 4.1814575, 0.044970132, -0.16365004, 10.169291
1130767141033443, 9.345169, -0.8650054, 4.2460637, 0.031814568, -0.14681792, 10.299852
1130767150673183, 9.300901, -0.7896315, 4.109673, -0.03876895, -0.027780056, 10.198894
1130767160312923, 9.226724, -0.7405786, 4.085745, -0.078323215, -0.031703234, 10.11766
1130767169952662, 9.19801, -0.7405786, 4.1718864, -0.07090537, -0.121963024, 10.126034
1130767179592402, 9.205189, -0.71425754, 4.0642095, -0.0990401, -0.02173829, 10.087276
1130767189232141, 9.0544405, -0.66999036, 3.7746778, -0.12993538, 0.18479562, 9.830003
1130767198871881, 8.933603, -0.53599226, 3.4887354, -0.2592118, 0.38751864, 9.594293
1130767208511620, 8.834301, -0.55513483, 3.5521452, -0.2326767, 0.28511333, 9.530759
1130767218151360, 8.941978, -0.7429714, 4.019942, -0.048867453, -0.09068084, 9.831597
1130767227791100, 9.293723, -1.0408778, 4.342973, 0.19928652, -0.21588111, 10.306881
1130767237430839, 9.485149, -1.0360922, 4.5152564, 0.16501562, -0.27556014, 10.55111
1130767247070579, 9.426525, -0.75613195, 4.476971, -0.115258195, -0.25061226, 10.459363
1130767256710318, 9.3104725, -0.5312066, 4.369294, -0.3208922, -0.18818474, 10.291716
1130767266350058, 9.29492, -0.5587241, 4.3788652, -0.29415134, -0.20018983, 10.283754
1130767275989798, 9.251849, -0.79920274, 4.3633122, -0.03624154, -0.19227004, 10.258443
1130767285629537, 9.15494, -1.0839486, 4.4004006, 0.2751249, -0.24380445, 10.208638
