timestamp_acc,device_acc_x,device_acc_y,device_acc_z,earth_acc_x,earth_acc_y,earth_acc_z
97621004236966, -0.3792624, 6.361319, 7.588837, -0.024187565, -0.017936707, 9.909579
97621013875820, -0.38165522, 6.381658, 7.5900335, -0.021814108, -0.0024843216, 9.923677
97621023514570, -0.37208393, 6.3888364, 7.611569, -0.013978958, -0.012916088, 9.94441
97621033153320, -0.34576288, 6.407979, 7.598408, 0.01772666, 0.0020337105, 9.945713
97621042792070, -0.3505485, 6.413961, 7.5732837, 0.01802349, 0.023786068, 9.930534
97621052430820, -0.34337005, 6.411568, 7.55773, 0.026450157, 0.029197693, 9.916847
97621062069674, -0.35413775, 6.3924255, 7.530213, 0.015333772, 0.034690857, 9.883884
97621071708424, -0.34576288, 6.398408, 7.537391, 0.023604035, 0.031460285, 9.892923
97621081347174, -0.3912265, 6.3888364, 7.5349984, -0.022012949, 0.03757763, 9.886585
97621090985924, -0.37328035, 6.38764, 7.5290165, -0.0042260885, 0.03517914, 9.880594
97621100624674, -0.3397808, 6.393622, 7.520642, 0.031222463, 0.035381317, 9.876825
97621110263424, -0.34337005, 6.4008007, 7.5314093, 0.027939558, 0.034573555, 9.889809
97621119902278, -0.36131623, 6.3768725, 7.55773, 0.0013389587, 0.005144596, 9.8951645
97621129541028, -0.35174492, 6.3924255, 7.5828547, 0.010798812, -0.0010075569, 9.924032
97621139179778, -0.35533416, 6.3804617, 7.6199436, -3.7825108E-4, -0.031475544, 9.944803
97621148818528, -0.37088752, 6.3948183, 7.658229, -0.017169714, -0.039863586, 9.983881
97621158457278, -0.4103691, 6.384051, 7.658229, -0.05815959, -0.03648472, 9.978391
97621168096132, -0.41515473, 6.3888364, 7.6462646, -0.059015393, -0.023468494, 9.972507
97621177734882, -0.4139583, 6.3888364, 7.62114, -0.05237484, -0.008135796, 9.953268
97621187373632, -0.38644084, 6.37089, 7.6031938, -0.027115822, -0.018376827, 9.926987
97621197012382, -0.35294133, 6.3744793, 7.55773, 0.012781978, 0.0034680367, 9.893314
97621206651132, -0.32303107, 6.3661046, 7.515856, 0.045805097, 0.0144815445, 9.854818
97621216289986, -0.31585258, 6.3792653, 7.469196, 0.062040925, 0.049921513, 9.827377
97621225928736, -0.30388847, 6.384051, 7.4536424, 0.07595348, 0.058606625, 9.8181505
97621235567486, -0.32303107, 6.3864436, 7.489535, 0.05066085, 0.04204321, 9.847834
97621245206236, -0.3589234, 6.3948183, 7.5553374, 0.0077307224, 0.017035484, 9.904812
97621254844986, -0.3804588, 6.3948183, 7.598408, -0.019102693, -0.0044169426, 9.938504
97621264483841, -0.36610186, 6.3948183, 7.624729, -0.008688927, -0.023966312, 9.958092
97621274122591, -0.37328035, 6.393622, 7.6390862, -0.017095923, -0.030173302, 9.968561
97621283761341, -0.3589234, 6.410372, 7.6307116, 0.0020098686, -0.015805244, 9.972423
97621293400091, -0.37328035, 6.3960147, 7.5936227, -0.009569287, 8.1062317E-4, 9.93536
97621303038841, -0.3696911, 6.38764, 7.5900335, -0.0075235367, -0.0039577484, 9.927093
97621312677695, -0.38763726, 6.3924255, 7.5673018, -0.019807577, 0.018227577, 9.91346
97621322316445, -0.3900301, 6.3768725, 7.5625157, -0.0243963, 0.0105986595, 9.899878
97621331955195, -0.3900301, 6.3744793, 7.5613194, -0.023563743, 0.008155346, 9.897427
97621341593945, -0.39481574, 6.381658, 7.537391, -0.022541046, 0.029806137, 9.883943
97621351232695, -0.35533416, 6.3792653, 7.5385876, 0.014934301, 0.015224934, 9.881861
97621360871549, -0.32303107, 6.3948183, 7.5110703, 0.054465532, 0.033425808, 9.8696575
97621370510299, -0.33020952, 6.3948183, 7.5110703, 0.047657847, 0.034734726, 9.869926
97621380149049, -0.33738798, 6.3996043, 7.52782, 0.038410664, 0.029612541, 9.886077
97621389787799, -0.33140594, 6.3792653, 7.564909, 0.032191753, -0.009744644, 9.901091
97621399426549, -0.317049, 6.407979, 7.6031938, 0.046604276, -0.01596117, 9.948309
97621409065403, -0.31465617, 6.4008007, 7.5828547, 0.050000668, -0.008620262, 9.928061
97621418704153, -0.34456646, 6.3924255, 7.5756764, 0.020200014, -0.0013446808, 9.918282
97621428342903, -0.40558344, 6.3996043, 7.585248, -0.03771603, 0.015256405, 9.932461
97621437981653, -0.41635114, 6.390033, 7.5756764, -0.047722816, 0.01708746, 9.919384
97621447620403, -0.4331009, 6.3792653, 7.55773, -0.06267762, 0.024636269, 9.899361
97621457259257, -0.40558344, 6.4008007, 7.55773, -0.031020999, 0.032940388, 9.912215
97621466898007, -0.41156548, 6.4127645, 7.5613194, -0.03277719, 0.040675163, 9.922892
97621476536757, -0.40079778, 6.4055862, 7.5529447, -0.022877336, 0.037652493, 9.9114685
97621486175507, -0.37208393, 6.4199433, 7.5732837, 0.0049233437, 0.026718616, 9.935191
97621495814257, -0.36370903, 6.418747, 7.554141, 0.015289307, 0.03490925, 9.919487
97621505453111, -0.34337005, 6.38764, 7.5517483, 0.027983189, 0.008205891, 9.896863
