timestamp_acc,device_acc_x,device_acc_y,device_acc_z,earth_acc_x,earth_acc_y,earth_acc_z
256395112054317, -1.9932213, 3.562913, 8.9348, -0.11815947, 0.030589104, 9.82258
256395121693692, -2.0877378, 3.4911282, 8.959925, -0.23294157, 0.019845009, 9.837288
256395131332963, -2.1104696, 3.4695928, 9.016156, -0.25381726, 4.210472E-4, 9.8852825
256395140972338, -2.085345, 3.4971104, 9.044869, -0.21556807, -0.0020012856, 9.916735
256395150611608, -2.0422742, 3.534199, 9.148957, -0.16611809, -0.041461706, 10.016764
256395160250983, -1.9776679, 3.5940197, 9.178867, -0.080608934, -0.044250965, 10.053423
256395169890358, -1.8915263, 3.6059837, 9.163314, -0.012977511, -0.076384306, 10.027029
256395179529629, -1.8520447, 3.67059, 9.15135, 0.055820227, -0.04598093, 10.032213
256395189169004, -1.7443677, 3.7483566, 9.122637, 0.18645078, -0.03785634, 10.013956
256395198808379, -1.692922, 3.8165522, 8.992228, 0.27925235, 0.036944628, 9.91024
256395208447754, -1.7060826, 3.8285162, 8.878569, 0.28442216, 0.10577178, 9.813519
256395218087025, -1.8173488, 3.7770705, 8.896515, 0.16298544, 0.120072365, 9.832397
256395227726400, -1.9058832, 3.6646078, 9.017352, 0.02272892, 0.040012598, 9.91828
256395237365775, -1.9621146, 3.5796626, 9.085547, -0.07678282, -0.016664505, 9.960165
256395247005046, -2.0291135, 3.501896, 9.090333, -0.17679054, -0.037471056, 9.948973
256395256644421, -2.0721843, 3.4564323, 9.141779, -0.24277431, -0.06677842, 9.987473
256395266283796, -2.0267208, 3.4648073, 9.213564, -0.20642853, -0.11504245, 10.047209
256395275923067, -1.9657038, 3.5162528, 9.115458, -0.11859852, -0.07453036, 9.964937
256395285562442, -1.8915263, 3.6346977, 8.983852, 0.018384874, 0.02477932, 9.874085
256395295201817, -1.82692, 3.7268212, 8.904889, 0.12964034, 0.083185196, 9.823449
256395304841088, -1.8185452, 3.7483566, 8.904889, 0.14909363, 0.09398556, 9.829714
256395314480463, -1.8604196, 3.6993039, 8.999406, 0.07840979, 0.040606737, 9.905934
256395324119838, -1.9381863, 3.6191442, 9.133404, -0.043641925, -0.028345108, 10.013547
256395333759108, -2.024328, 3.554538, 9.164511, -0.15146607, -0.038956404, 10.034762
256395343398483, -2.0219352, 3.562913, 9.193225, -0.14597535, -0.04743409, 10.063519
256395353037858, -1.9573289, 3.5772698, 9.189635, -0.076767206, -0.06651187, 10.053212
256395362677129, -1.8987048, 3.6454654, 9.050852, 0.018586814, 0.007882357, 9.940423
256395372316504, -1.7898313, 3.6813576, 8.903693, 0.1455071, 0.033626556, 9.798435
256395381955879, -1.7419748, 3.7483566, 8.825927, 0.22933155, 0.084207535, 9.74279
256395391595150, -1.7419748, 3.751946, 8.793623, 0.23203135, 0.103280544, 9.714672
256395401234525, -1.8161523, 3.696911, 8.937193, 0.123662084, 0.042125463, 9.839813
256395410873900, -1.9190438, 3.6131623, 9.150154, -0.027775705, -0.05177474, 10.022952
