timestamp_acc,device_acc_x,device_acc_y,device_acc_z,earth_acc_x,earth_acc_y,earth_acc_z
188778982083028, -0.43429732, 8.142776, 5.8947186, -0.07284427, -0.0010213852, 10.061601
188778991723132, -0.47138608, 8.019546, 5.4963136, -0.021787882, 0.24027061, 9.730701
188779001363340, -0.46061835, 7.8604226, 5.339584, 0.009844422, 0.26438427, 9.509974
188779011003548, -0.6329016, 7.706085, 5.2366924, -0.14209938, 0.31700897, 9.33202
188779020643653, -0.72741807, 7.716853, 5.191229, -0.20601285, 0.38363075, 9.318701
188779030283861, -0.61734825, 7.7479596, 5.349155, -0.13446712, 0.24138641, 9.431284
188779039924069, -0.50009996, 7.7886376, 5.3216376, -9.448528E-4, 0.23762608, 9.443323
188779049564173, -0.5383851, 7.8580294, 4.9926243, 0.050543666, 0.52109885, 9.310783
188779059204382, -0.37447673, 8.103293, 5.204389, 0.20175815, 0.42011166, 9.626633
188779068844486, -0.16749759, 8.100901, 5.7990055, 0.24004555, -0.118535995, 9.960395
188779078484694, -0.058624156, 8.213364, 6.3960147, 0.22381043, -0.5586629, 10.392767
188779088124903, 0.02632105, 8.330612, 6.495317, 0.29113436, -0.60328007, 10.542307
188779097765007, -0.17467605, 8.407183, 6.279963, 0.16838348, -0.32279444, 10.48888
188779107405215, -0.2213361, 8.456235, 6.224928, 0.15805018, -0.2419486, 10.498719
188779117045423, -0.25842485, 8.386844, 6.430711, 0.072962046, -0.43273258, 10.562547
188779126685528, -0.49651068, 7.989635, 5.48076, 0.01382339, 0.1666379, 9.700081
188779136325736, -1.0289137, 7.6271224, 3.8644085, -0.18001175, 1.4059896, 8.494475
188779145965840, -1.1114662, 7.7216387, 3.7196429, -0.16784507, 1.6077461, 8.4901
188779155606048, -0.782453, 7.429714, 3.912265, 0.06723064, 1.2270067, 8.34318
188779165246257, -0.72263247, 7.3136625, 4.5188456, -0.017511189, 0.7126503, 8.597886
188779174886361, -0.75613195, 7.34118, 5.2809596, -0.21264297, 0.14721727, 9.07118
188779184526569, -0.8171489, 7.3292155, 5.6889358, -0.348455, -0.11135435, 9.306735
188779194166778, -0.76689965, 7.519445, 6.257231, -0.38215232, -0.39452553, 9.797011
188779203806882, -0.5395815, 7.928618, 7.1485577, -0.27729738, -0.9231906, 10.645507
188779213447090, -0.38285163, 8.179864, 7.469196, -0.15307808, -1.0514865, 11.032524
188779223087298, -0.37806597, 8.3174515, 7.5086775, -0.14570642, -0.9720068, 11.168579
188779232727403, -0.22372891, 8.452646, 7.4105716, 0.059051752, -0.86602545, 11.209833
188779242367611, -0.1794617, 8.398808, 6.977471, 0.18876457, -0.5806956, 10.903414
188779252007715, -0.27756742, 8.208578, 6.259624, 0.23153651, -0.104895115, 10.323568
188779261647923, -0.38524446, 7.948957, 5.3742795, 0.28537762, 0.457088, 9.587847
188779271288132, -0.4019942, 7.725228, 4.861019, 0.3682282, 0.72133136, 9.100239
188779280928236, -0.46660042, 7.598408, 4.802395, 0.29291236, 0.71547246, 8.967654
188779290568444, -0.5623133, 7.493124, 5.0739803, 0.12312448, 0.48646832, 9.052987
188779300208653, -0.62811595, 7.4584284, 5.4592247, -0.021446943, 0.21228123, 9.2617655
