timestamp_acc,device_acc_x,device_acc_y,device_acc_z,earth_acc_x,earth_acc_y,earth_acc_z
516603188302196, -1.5972091, 4.194618, 8.713464, -0.37116158, -0.14859438, 9.793392
516603197941154, -1.564906, 4.2448673, 8.785249, -0.32053316, -0.14733434, 9.8754225
516603207580216, -1.4524434, 4.3274198, 8.725428, -0.17267027, -0.078623295, 9.8454685
516603217219175, -1.3950156, 4.395615, 8.724232, -0.09549174, -0.04001236, 9.867575
516603226858237, -1.3387842, 4.453043, 8.745767, -0.017834947, -0.014158726, 9.905043
516603236497300, -1.2789637, 4.5224347, 8.7780695, 0.06064515, 0.010309696, 9.956852
516603246136258, -1.2370893, 4.5535417, 8.85823, 0.10753803, -0.01139307, 10.036018
516603255775321, -1.2191432, 4.634897, 8.852247, 0.15213957, 0.05178976, 10.065042
516603265414279, -1.253839, 4.648058, 8.755338, 0.12508821, 0.121273994, 9.990101
516603275053341, -1.2430713, 4.6265225, 8.775677, 0.12551768, 0.091116905, 9.99692
516603284692300, -1.2418749, 4.57747, 8.827123, 0.10716997, 0.026905537, 10.020049
516603294331362, -1.1964114, 4.5451665, 8.879765, 0.13765386, -0.037747383, 10.045885
516603303970425, -1.1389836, 4.581059, 8.909675, 0.20210633, -0.036934376, 10.080848
516603313609383, -1.0983056, 4.6037908, 8.903693, 0.2482839, -0.02721119, 10.080403
516603323248446, -1.0923235, 4.60738, 8.839087, 0.25474364, 0.003956318, 10.024254
516603332887404, -1.0815558, 4.5822554, 8.742178, 0.25643265, 0.027618408, 9.926024
516603342526466, -1.1330016, 4.5762734, 8.640483, 0.20688167, 0.0843215, 9.840427
516603352165529, -1.2382857, 4.5559344, 8.56152, 0.10101469, 0.13683033, 9.775511
516603361804487, -1.2634103, 4.5655055, 8.535198, 0.07993688, 0.16539192, 9.759914
516603371443550, -1.302892, 4.5822554, 8.559127, 0.05013621, 0.17839098, 9.79382
516603381082508, -1.3926228, 4.558327, 8.572288, -0.04063578, 0.1780963, 9.806555
516603390721571, -1.4739788, 4.4889355, 8.622537, -0.13990155, 0.12036371, 9.830425
516603400360529, -1.5349957, 4.442275, 8.754142, -0.21614766, 0.03762293, 9.933626
516603409999591, -1.5661024, 4.392026, 8.88814, -0.25767025, -0.05683422, 10.033542
516603419638654, -1.5553347, 4.3154554, 8.8905325, -0.27185267, -0.12538815, 9.999708
516603429277612, -1.5481563, 4.269992, 8.79482, -0.26340586, -0.11553335, 9.894228
516603438916675, -1.4620147, 4.301099, 8.809176, -0.1683204, -0.11621809, 9.909425
516603448555633, -1.3495519, 4.3848476, 8.834301, -0.033842355, -0.09003067, 9.954085
516603458194696, -1.3100704, 4.453043, 8.807981, 0.026225984, -0.032948494, 9.956135
516603467833654, -1.3136597, 4.4721856, 8.71466, 0.02906622, 0.028356075, 9.882803
516603477472716, -1.268196, 4.5044885, 8.650054, 0.08077186, 0.070827484, 9.834156
516603487111779, -1.2227324, 4.5738807, 8.659625, 0.14125171, 0.10926485, 9.867759
516603496750737, -1.2311072, 4.5966125, 8.664411, 0.1418172, 0.12699604, 9.883332
516603506389800, -1.2323036, 4.5822554, 8.690732, 0.13190109, 0.102767944, 9.900329
516603516028758, -1.2454642, 4.534399, 8.719446, 0.10113737, 0.054011345, 9.905935
516603525667821, -1.2430713, 4.5128636, 8.740981, 0.0939323, 0.02624178, 9.914959
516603535306779, -1.2442678, 4.517649, 8.738588, 0.09447613, 0.031715393, 9.915157
516603544945841, -1.2574283, 4.5092745, 8.702696, 0.078383416, 0.046039104, 9.881463
516603554584904, -1.2107682, 4.506881, 8.670393, 0.12209743, 0.0439682, 9.845648
516603564223862, -1.2466606, 4.4542394, 8.669196, 0.07027504, 0.012045383, 9.825694
516603573862925, -1.3686945, 4.3561335, 8.773284, -0.08428499, -0.07448816, 9.889746
516603583501883, -1.4344971, 4.29392, 8.933603, -0.17562327, -0.1753459, 10.012154
