timestamp_acc,device_acc_x,device_acc_y,device_acc_z,earth_acc_x,earth_acc_y,earth_acc_z
1125435094921529, -1.3615161, 4.674379, 8.724232, -0.06548023, 0.020233393, 9.99055
1125435104561216, -1.3950156, 4.6564326, 8.758927, -0.05523014, 0.06337738, 10.0169935
1125435114201008, -1.422533, 4.6265225, 8.742178, -0.03529954, 0.09320569, 9.9922
1125435123840695, -1.451247, 4.618148, 8.696713, 8.6283684E-4, 0.098614216, 9.952714
1125435133480383, -1.4823537, 4.6372905, 8.6548395, 0.048678875, 0.08459711, 9.929681
1125435143120070, -1.5266209, 4.6408796, 8.603394, 0.104274035, 0.085608244, 9.892852
1125435152759758, -1.5266209, 4.6767716, 8.563912, 0.13274288, 0.04537654, 9.875407
1125435162399445, -1.4907285, 4.7007003, 8.583055, 0.10394621, 0.013229847, 9.898319
1125435172039133, -1.4273187, 4.6839504, 8.609376, 0.033158302, 0.0011520386, 9.904387
1125435181678820, -1.3794622, 4.6803613, 8.603394, -0.0060987473, -0.02284336, 9.89073
1125435191318508, -1.314856, 4.705486, 8.608179, -0.051562548, -0.07493591, 9.897623
1125435200958300, -1.2897314, 4.7018967, 8.6345005, -0.08183932, -0.07609725, 9.915309
1125435210597987, -1.288535, 4.682754, 8.691928, -0.1094923, -0.041378975, 9.956125
1125435220237675, -1.247857, 4.6971107, 8.734999, -0.15080428, -0.058918476, 9.994698
1125435229877362, -1.2969099, 4.6911287, 8.721839, -0.10421014, -0.029855728, 9.98736
1125435239517050, -1.3627125, 4.694718, 8.664411, -0.026987076, -0.01753664, 9.948284
1125435249156737, -1.3830515, 4.674379, 8.622537, -0.0027325153, -0.0038530827, 9.905088
1125435258796425, -1.422533, 4.6695933, 8.603394, 0.03388834, 0.016977072, 9.891694
1125435268436112, -1.4392828, 4.7102714, 8.592627, 0.069116116, -0.0083909035, 9.903868
1125435278075800, -1.477568, 4.705486, 8.572288, 0.1055243, 0.010183811, 9.889271
