timestamp_acc,device_acc_x,device_acc_y,device_acc_z,earth_acc_x,earth_acc_y,earth_acc_z
1465035852844310, -0.7178468, 6.1806607, 7.587641, -0.02493918, 0.0073695183, 9.81262
1465035855254102, -0.7082755, 6.1902323, 7.597212, -0.014799595, 0.0043263435, 9.825377
1465035857663945, -0.72263247, 6.206982, 7.6163545, -0.02586782, 0.010262489, 9.8517475
1465035860073737, -0.74177504, 6.1878395, 7.6307116, -0.05179012, -0.0026993752, 9.852139
1465035862483529, -0.7609176, 6.1854467, 7.6259255, -0.067673564, 0.008172512, 9.848292
1465035864893373, -0.7728817, 6.192625, 7.6259255, -0.07588196, 0.01809597, 9.853661
1465035867303164, -0.76331043, 6.192625, 7.635497, -0.06763458, 0.009554863, 9.860394
1465035869712956, -0.7585248, 6.1998034, 7.649854, -0.06376064, 0.003911972, 9.875681
1465035872122800, -0.7513463, 6.204589, 7.647461, -0.05328095, 0.007633686, 9.876347
1465035874532591, -0.7537391, 6.2117677, 7.649854, -0.053260684, 0.012127876, 9.882889
1465035876942383, -0.72263247, 6.2213387, 7.664211, -0.023680925, -0.0021591187, 9.8978195
1465035879352227, -0.72023964, 6.2309103, 7.676175, -0.020607114, -0.003783226, 9.912932
1465035881762018, -0.715454, 6.2213387, 7.676175, -0.019028068, -0.011284351, 9.906569
1465035884171810, -0.7178468, 6.2309103, 7.6977105, -0.022379398, -0.016517162, 9.929426
1465035886581654, -0.7082755, 6.233303, 7.7072816, -0.014990568, -0.0246768, 9.937659
1465035888991445, -0.70348984, 6.2309103, 7.692925, -0.007804513, -0.018693447, 9.924706
1465035891401289, -0.6963114, 6.2404814, 7.719246, -0.0031403303, -0.02970028, 9.950593
1465035893811081, -0.6843473, 6.257231, 7.7383885, 0.009665489, -0.034758568, 9.9751
1465035896220873, -0.68195444, 6.2644095, 7.7479596, 0.012387514, -0.03656912, 9.986855
1465035898630716, -0.67477596, 6.2548385, 7.745567, 0.015948176, -0.043558598, 9.978476
1465035901040508, -0.66759753, 6.24766, 7.7503524, 0.018451333, -0.053216457, 9.9771595
1465035903450300, -0.6723832, 6.2404814, 7.7671022, 0.0077399015, -0.065984726, 9.985949
1465035905860091, -0.68195444, 6.233303, 7.776674, -0.005969763, -0.07120085, 9.989529
1465035908269935, -0.70588267, 6.2237315, 7.8029947, -0.036936283, -0.08305311, 10.005577
1465035910679727, -0.715454, 6.2261243, 7.8173513, -0.047094703, -0.08623791, 10.018873
1465035913089518, -0.72502524, 6.206982, 7.838887, -0.06753278, -0.10549259, 10.024208
1465035915499362, -0.72502524, 6.195018, 7.853244, -0.075051665, -0.12222099, 10.0278
1465035917909154, -0.7393822, 6.1878395, 7.8556366, -0.09119415, -0.12250614, 10.026154
1465035920318998, -0.72502524, 6.1854467, 7.877172, -0.083221555, -0.14331722, 10.040307
1465035922728789, -0.7298109, 6.178268, 7.8723865, -0.08880496, -0.14199638, 10.032449
1465035925138581, -0.72023964, 6.178268, 7.8723865, -0.079648614, -0.14463377, 10.031797
1465035927548373, -0.7369894, 6.175875, 7.865208, -0.09415555, -0.13500166, 10.025917
1465035929958216, -0.74895346, 6.1830535, 7.865208, -0.10236573, -0.12507486, 10.031275
1465035932368008, -0.76331043, 6.195018, 7.850851, -0.10755134, -0.10083485, 10.028708
1465035934777800, -0.7537391, 6.2117677, 7.838887, -0.08939767, -0.08514118, 10.02931
1465035937187643, -0.7465607, 6.2261243, 7.8221374, -0.074030876, -0.06834316, 10.024851
1465035939597435, -0.73459655, 6.2309103, 7.8221374, -0.060608864, -0.069413185, 10.027024
1465035942007227, -0.72502524, 6.2309103, 7.8029947, -0.04783106, -0.06204176, 10.011518
1465035944417070, -0.72741807, 6.259624, 7.786245, -0.035452843, -0.031843662, 10.016755
1465035946826862, -0.72502524, 6.2668023, 7.769495, -0.026488066, -0.017446518, 10.008123
1465035949236706, -0.71306115, 6.262017, 7.7479596, -0.01225841, -0.012581825, 9.987586
1465035951646498, -0.71306115, 6.259624, 7.733603, -0.009561896, -0.005783081, 9.974961
1465035954056289, -0.70588267, 6.2715883, 7.7312098, 0.001685977, 0.0010957718, 9.980116
1465035956466133, -0.71306115, 6.302695, 7.7120676, 0.009898305, 0.037024975, 9.985336
1465035958875925, -0.71306115, 6.300302, 7.7120676, 0.009438515, 0.035224915, 9.983831
1465035961285716, -0.715454, 6.2931237, 7.7144604, 0.004413128, 0.029736042, 9.981347
1465035963695560, -0.68195444, 6.300302, 7.702496, 0.039966702, 0.028346062, 9.974213
1465035966105352, -0.6987042, 6.2955165, 7.6977105, 0.024301529, 0.034121037, 9.968685
1465035968515143, -0.66759753, 6.2931237, 7.6953177, 0.05231774, 0.021346092, 9.963122
1465035970924987, -0.66999036, 6.3314085, 7.6953177, 0.064254165, 0.047988415, 9.987349
1465035973334779, -0.67477596, 6.3361945, 7.692925, 0.06226647, 0.054264545, 9.988842
1465035975744570, -0.66999036, 6.3290157, 7.702496, 0.062045336, 0.041638374, 9.9914055
1465035978154414, -0.6556334, 6.3290157, 7.7072816, 0.074107885, 0.03290367, 9.994094
1465035980564206, -0.6580262, 6.3218374, 7.7144604, 0.067788124, 0.023878574, 9.995317
1465035982973998, -0.6652047, 6.326623, 7.719246, 0.061841607, 0.0266819, 10.0025425
1465035985383841, -0.6628119, 6.3122663, 7.7216387, 0.058331966, 0.014378071, 9.995205
1465035987793633, -0.66759753, 6.32423, 7.7096744, 0.060809135, 0.03172922, 9.993795
1465035990203425, -0.6843473, 6.32423, 7.7072816, 0.0458982, 0.03946495, 9.993135
1465035992613268, -0.6867401, 6.302695, 7.6977105, 0.037868857, 0.030380726, 9.972361
1465035995023060, -0.6771688, 6.309873, 7.704889, 0.04763055, 0.027038574, 9.981752
1465035997432852, -0.6867401, 6.2931237, 7.6833534, 0.037436485, 0.03235817, 9.955225
1465035999842695, -0.6795616, 6.290731, 7.6809607, 0.043253183, 0.028252125, 9.951363
