timestamp_acc,device_acc_x,device_acc_y,device_acc_z,earth_acc_x,earth_acc_y,earth_acc_z
699755595598321, 5.812166, -1.2251252, 8.062616, -0.06382966, -0.02897644, 10.014143
699755605237071, 5.782256, -1.166501, 8.049456, -0.11276877, -0.07072973, 9.9785385
699755614875821, 5.736792, -1.1473584, 8.047063, -0.11002374, -0.11066103, 9.947768
699755624514571, 5.7403817, -1.1832508, 8.04108, -0.074356556, -0.09073448, 9.9497385
699755634153425, 5.7667027, -1.2083755, 8.045866, -0.06180668, -0.06421471, 9.972115
699755643792175, 5.8229337, -1.2323036, 8.067402, -0.046301007, -0.026751995, 10.02523
699755653430925, 5.8743796, -1.2717853, 8.069795, -0.029543161, 0.024534702, 10.062101
699755663069675, 5.918647, -1.3232309, 8.047063, 0.0013382435, 0.09152937, 10.076118
699755672708425, 5.948557, -1.3794622, 8.080562, 0.046898007, 0.118335724, 10.127562
699755682347175, 5.9641104, -1.3938192, 8.103293, 0.05722022, 0.123485565, 10.156681
699755691985925, 5.959325, -1.3363914, 8.135597, 0.0053993464, 0.08061218, 10.172556
699755701624675, 5.942575, -1.3016955, 8.142776, -0.018332958, 0.051062584, 10.164175
699755711263530, 5.919843, -1.2550355, 8.142776, -0.054552913, 0.017087936, 10.145008
699755720902280, 5.8839507, -1.262214, 8.140383, -0.03665006, -0.007074833, 10.123166
699755730541030, 5.844469, -1.3016955, 8.147561, 0.015074134, -0.02721548, 10.111082
699755740179780, 5.861219, -1.2705889, 8.175078, -0.01577115, -0.0438962, 10.138935
699755749818530, 5.8564334, -1.2215359, 8.185846, -0.06334996, -0.08026981, 10.138422
699755759457280, 5.8301125, -1.2143575, 8.151151, -0.06677616, -0.083670616, 10.09429
699755769096030, 5.7954164, -1.2514462, 8.090134, -0.028038502, -0.058260918, 10.029907
699755778734884, 5.761917, -1.3040884, 8.084151, 0.030607939, -0.05899, 10.012464
699755788373634, 5.741578, -1.3256238, 8.067402, 0.052688837, -0.05705738, 9.989991
699755798012384, 5.771488, -1.3316058, 8.053044, 0.040909886, -0.026548386, 9.996618
699755807651134, 5.7607207, -1.3531412, 8.007581, 0.055673957, -6.198883E-4, 9.956663
699755817289884, 5.782256, -1.3698909, 7.9764743, 0.056408525, 0.038760185, 9.946384
699755826928634, 5.7810597, -1.3806586, 7.946564, 0.062146664, 0.06013775, 9.923068
699755836567488, 5.79422, -1.3782659, 7.897511, 0.047626972, 0.09709883, 9.8909855
699755846206238, 5.8097734, -1.3794622, 7.905886, 0.040478706, 0.10465002, 9.906908
699755855844988, 5.8265233, -1.4117653, 7.969296, 0.07042277, 0.0930295, 9.971836
699755865483738, 5.84088, -1.422533, 8.020741, 0.081728816, 0.07753992, 10.022928
699755875122488, 5.851648, -1.3950156, 8.045866, 0.054439306, 0.061433315, 10.04575
699755884761238, 5.832505, -1.3615161, 8.048259, 0.033422947, 0.03400421, 10.03215
699755894399988, 5.838487, -1.3435699, 8.092526, 0.023844361, 0.0066246986, 10.068836
699755904038842, 5.8396835, -1.2921243, 8.132008, -0.0139763355, -0.03449583, 10.094536
699755913677592, 5.875576, -1.2227324, 8.139186, -0.08359277, -0.034622192, 10.112151
699755923316342, 5.8707905, -1.1904292, 8.129615, -0.112330556, -0.045420647, 10.097487
699755932955092, 5.8707905, -1.2143575, 8.13799, -0.0861547, -0.03692627, 10.107371
699755942593842, 5.8468623, -1.227518, 8.136793, -0.057397246, -0.044700623, 10.094291
699755952232592, 5.855237, -1.2287145, 8.141579, -0.05430436, -0.041871548, 10.103175
699755961871342, 5.871987, -1.2239288, 8.158329, -0.056603074, -0.044933796, 10.125778
699755971510196, 5.869594, -1.2323036, 8.140383, -0.045279264, -0.035286903, 10.111046
699755981148946, 5.861219, -1.2490535, 8.103293, -0.03222978, -0.012930393, 10.078501
699755990787696, 5.8636117, -1.2490535, 8.092526, -0.03115654, -0.006714344, 10.071247
699756000426446, 5.8504515, -1.2693924, 8.126026, -0.002390623, -0.029420853, 10.093095
699756010065196, 5.901897, -1.2669996, 8.124829, -0.0281322, 0.007980347, 10.121742
699756019703946, 5.9210396, -1.2717853, 8.10808, -0.033371568, 0.033379555, 10.120025
699756029342696, 5.916254, -1.3004991, 8.117651, -0.012242198, 0.03781891, 10.128575
699756038981550, 5.8887367, -1.3052847, 8.117651, -0.0016393661, 0.020555973, 10.113201
699756048620300, 5.877969, -1.2933207, 8.090134, -0.012055874, 0.024179935, 10.08329
699756058259050, 5.866005, -1.2789637, 8.100901, -0.025645375, 0.0032777786, 10.0831375
699756067897800, 5.8277197, -1.2873386, 8.098508, -0.0036295652, -0.019571304, 10.060068
699756077536550, 5.8157554, -1.2753744, 8.088937, -0.0101310015, -0.032384872, 10.04387
699756087175300, 5.8217373, -1.2813566, 8.087741, -0.007032275, -0.025119781, 10.047157
699756096814050, 5.832505, -1.2789637, 8.072187, -0.01290071, -0.012652397, 10.040606
699756106452905, 5.818148, -1.268196, 8.0614195, -0.01592946, -0.02388382, 10.022217
699756116091655, 5.8193445, -1.253839, 8.017152, -0.034050226, -0.0050783157, 9.98551
699756125730405, 5.79422, -1.288535, 7.952546, -0.0023274422, 0.027902126, 9.923483
699756135369155, 5.7762737, -1.3184453, 7.9190464, 0.02383554, 0.046654224, 9.890004
699756145007905, 5.7990055, -1.3411771, 7.952546, 0.026440024, 0.05040455, 9.933125
699756154646655, 5.79422, -1.3411771, 7.982456, 0.03228247, 0.03022337, 9.954367
699756164285405, 5.7954164, -1.3172488, 7.982456, 0.0028443336, 0.019682407, 9.951945
699756173924259, 5.804988, -1.3232309, 8.006385, 0.0024755, 0.014983177, 9.977514
699756183563009, 5.8672013, -1.3627125, 8.047063, 0.016376019, 0.0529747, 10.051526
699756193201759, 5.899504, -1.430908, 8.09133, 0.0729239, 0.08093214, 10.11481
699756202840509, 5.930611, -1.4656038, 8.146365, 0.11047077, 0.089188576, 10.181515
699756212479259, 5.9090757, -1.4787644, 8.182257, 0.13652599, 0.058849335, 10.199566
699756222118009, 5.8863435, -1.4069797, 8.208578, 0.09538424, -0.0048828125, 10.198051
699756231756759, 5.8420763, -1.308874, 8.182257, 0.021194696, -0.061867714, 10.138444
699756241395613, 5.7607207, -1.2789637, 8.111669, 0.015148759, -0.09275818, 10.030554
699756251034363, 5.6853466, -1.2646067, 8.082955, 0.028097034, -0.13543177, 9.961798
699756260673113, 5.7188463, -1.2574283, 8.103293, 0.005612731, -0.1294365, 9.996646
699756270311863, 5.7607207, -1.2155539, 8.141579, -0.053237677, -0.1407466, 10.046201
699756279950613, 5.7786665, -1.2394822, 8.133204, -0.046507716, -0.11602688, 10.052995
699756289589363, 5.8193445, -1.2502499, 8.082955, -0.06252444, -0.051575184, 10.037705
699756299228113, 5.84088, -1.2981063, 8.055437, -0.027761698, 0.0023207664, 10.034453
699756308866863, 5.8636117, -1.3136597, 8.033902, -0.026212454, 0.036907196, 10.032406
699756318505717, 5.8839507, -1.3363914, 8.031509, -8.1062317E-4, 0.06666517, 10.045273
699756328144467, 5.8971114, -1.3124632, 8.007581, -0.024317145, 0.078266144, 10.030609
699756337783217, 5.9270215, -1.2801601, 8.007581, -0.06576419, 0.08565998, 10.043808
699756347421967, 5.9784675, -1.2861422, 8.009974, -0.07518804, 0.11946297, 10.076506
699756357060717, 6.023931, -1.288535, 8.088937, -0.07808757, 0.10145569, 10.1667385
699756366699467, 6.0215383, -1.2454642, 8.117651, -0.11996424, 0.053727627, 10.182784
699756376338217, 5.9712887, -1.1952149, 8.096115, -0.14722896, 0.010380745, 10.129667
699756385976967, 5.9353967, -1.1964114, 8.051848, -0.14277434, 0.008949757, 10.073338
699756395615821, 5.8875403, -1.227518, 8.036295, -0.099862576, -0.004254818, 10.03703
699756405254571, 5.852844, -1.2311072, 8.029117, -0.08301675, -0.026355267, 10.01152
699756414893321, 5.8743796, -1.2586247, 8.054241, -0.05666542, -0.023659706, 10.047861
699756424532071, 5.9090757, -1.262214, 8.10449, -0.05548048, -0.03072834, 10.108863
699756434170821, 5.885147, -1.2909278, 8.126026, -0.012749553, -0.048719883, 10.115889
699756443809571, 5.845666, -1.3076776, 8.054241, 0.0072823763, -0.027572632, 10.03752
699756453448321, 5.800202, -1.3555341, 8.024331, 0.064235926, -0.018723011, 9.99326
699756463087071, 5.8037915, -1.3435699, 8.0614195, 0.04641354, -0.03872156, 10.023573
699756472725925, 5.8360944, -1.3722838, 8.112865, 0.066313505, -0.034404278, 10.087427
699756482364675, 5.864808, -1.3854443, 8.142776, 0.056578875, -0.025662422, 10.129974
699756492003425, 5.8839507, -1.4297116, 8.123632, 0.08589816, 0.017378807, 10.131667
